year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
2021,1,Australia,X1,SUV,Petrol,82234,315372,96,0.97,6.29,1.2,8,324
2018,8,Australia,i4,Sedan,Electric,82291,447798,234,0.97,6.29,1.2,7,556
2022,12,USA,5 Series,Electric,Hybrid,40594,259755,25,0.97,6.29,1.2,7,152
2019,11,Australia,i7,SUV,Electric,42371,323541,319,0.97,6.29,1.2,5,730
2021,12,Brazil,X5,SUV,Diesel,82315,482015,367,0.97,6.29,1.2,2,1156
2024,12,China,i7,Electric,Diesel,118564,349155,172,0.97,6.29,1.2,6,687
2017,4,USA,i4,Electric,Diesel,114526,129183,107,0.97,6.29,1.2,10,439
2021,4,USA,X7,Sedan,Diesel,51626,405398,165,0.97,6.29,1.2,3,489
2022,5,India,3 Series,Sedan,Petrol,42130,487480,11,0.97,6.29,1.2,4,435
2019,8,UK,7 Series,SUV,Petrol,41828,92317,359,0.97,6.29,1.2,10,1080
2018,5,UK,5 Series,Electric,Electric,92514,228986,178,0.97,6.29,1.2,2,447
2022,8,Brazil,X3,Electric,Hybrid,87664,265705,324,0.97,6.29,1.2,2,827
2022,10,Canada,X3,Electric,Diesel,52883,414633,334,0.97,6.29,1.2,8,712
2017,1,Germany,X3,SUV,Electric,78059,226326,384,0.97,6.29,1.2,8,1181
2020,12,Germany,X1,Electric,Petrol,119078,352240,101,0.97,6.29,1.2,10,307
2019,10,France,X3,Electric,Petrol,77932,365929,190,0.97,6.29,1.2,6,725
2016,9,Brazil,7 Series,SUV,Hybrid,96269,102344,240,0.97,6.29,1.2,5,588
2022,6,USA,3 Series,Sedan,Hybrid,110986,296060,310,0.97,6.29,1.2,8,644
2020,3,Brazil,X3,Sedan,Hybrid,37035,432526,157,0.97,6.29,1.2,4,534
2016,8,Brazil,i7,SUV,Electric,75745,249618,289,0.97,6.29,1.2,4,1004
2019,9,Brazil,i7,Electric,Petrol,52241,209484,198,0.97,6.29,1.2,5,544
2015,6,UK,X1,SUV,Petrol,87975,160489,356,0.97,6.29,1.2,1,751
2024,11,Brazil,7 Series,Sedan,Hybrid,58154,494874,359,0.97,6.29,1.2,1,1061
2020,7,China,3 Series,Sedan,Diesel,60625,492765,323,0.97,6.29,1.2,2,954
2023,1,Germany,5 Series,SUV,Hybrid,79950,308667,137,0.97,6.29,1.2,8,673
2015,5,France,i4,SUV,Electric,91396,61549,16,0.97,6.29,1.2,7,15
2024,5,China,3 Series,Sedan,Hybrid,48331,75739,56,0.97,6.29,1.2,10,107
2017,10,France,i4,SUV,Hybrid,98927,333353,62,0.97,6.29,1.2,9,523
2021,4,India,X7,Sedan,Electric,119719,157051,196,0.97,6.29,1.2,5,782
2018,6,France,i4,SUV,Hybrid,98014,65116,47,0.97,6.29,1.2,2,397
2023,7,Germany,X5,SUV,Petrol,74346,70045,235,0.97,6.29,1.2,7,773
2017,9,Germany,i7,SUV,Diesel,105411,469543,62,0.97,6.29,1.2,8,179
2019,1,Brazil,7 Series,Sedan,Hybrid,89478,85709,233,0.97,6.29,1.2,7,652
2017,6,Japan,iX,SUV,Electric,47254,355761,163,0.97,6.29,1.2,7,389
2021,7,India,X1,Sedan,Diesel,90734,207977,57,0.97,6.29,1.2,5,213
2019,3,USA,X5,Sedan,Electric,63621,253675,360,0.97,6.29,1.2,2,945
2023,8,Australia,i4,SUV,Diesel,111441,279167,156,0.97,6.29,1.2,6,705
2021,5,France,X3,SUV,Diesel,81121,431923,73,0.97,6.29,1.2,4,368
2016,9,Japan,7 Series,Sedan,Hybrid,116418,355063,358,0.97,6.29,1.2,10,743
2018,5,Brazil,X5,Sedan,Petrol,95197,395665,191,0.97,6.29,1.2,2,805
2023,9,UK,X1,Electric,Hybrid,119577,269222,134,0.97,6.29,1.2,9,380
2016,10,USA,i7,Sedan,Electric,77431,239518,188,0.97,6.29,1.2,7,543
2024,4,Canada,7 Series,Electric,Electric,39837,233500,48,0.97,6.29,1.2,6,429
2023,9,Japan,X1,Electric,Diesel,118163,491110,269,0.97,6.29,1.2,5,661
2024,5,UK,X7,Electric,Diesel,106232,318591,391,0.97,6.29,1.2,3,1001
2019,10,India,X7,SUV,Petrol,83994,55499,12,0.97,6.29,1.2,10,413
2016,9,Brazil,X1,SUV,Hybrid,114079,89041,73,0.97,6.29,1.2,10,396
2018,3,USA,X5,Sedan,Electric,47615,343459,38,0.97,6.29,1.2,4,225
2021,4,USA,7 Series,Electric,Diesel,36466,182371,381,0.97,6.29,1.2,3,992
2022,9,USA,X5,SUV,Petrol,65771,432650,20,0.97,6.29,1.2,8,476
2017,10,India,5 Series,SUV,Electric,118886,186066,106,0.97,6.29,1.2,3,357
2015,11,France,i4,SUV,Diesel,100911,276486,367,0.97,6.29,1.2,7,1145
2018,6,Canada,5 Series,SUV,Electric,55746,262235,212,0.97,6.29,1.2,7,679
2016,2,India,X7,SUV,Petrol,95739,307831,30,0.97,6.29,1.2,7,184
2022,7,Australia,i7,Electric,Petrol,108369,450705,48,0.97,6.29,1.2,7,205
2018,2,Canada,3 Series,Electric,Electric,36893,403791,232,0.97,6.29,1.2,2,534
2016,11,Germany,i4,Electric,Hybrid,65573,344499,111,0.97,6.29,1.2,10,578
2020,2,Brazil,X7,Electric,Electric,75874,385949,55,0.97,6.29,1.2,3,292
2020,11,India,X5,Sedan,Diesel,112362,380511,75,0.97,6.29,1.2,10,495
2024,1,UK,X5,Electric,Hybrid,68367,422050,100,0.97,6.29,1.2,9,576
2018,11,Canada,X5,SUV,Diesel,56199,429553,173,0.97,6.29,1.2,3,534
2020,11,Australia,i7,Electric,Electric,109328,389499,120,0.97,6.29,1.2,2,453
2016,12,Germany,5 Series,Sedan,Hybrid,92724,166220,347,0.97,6.29,1.2,9,1070
2024,11,France,3 Series,SUV,Diesel,71405,271421,132,0.97,6.29,1.2,10,348
2016,3,UK,X5,Electric,Electric,50989,399317,202,0.97,6.29,1.2,9,651
2024,6,Canada,iX,Electric,Electric,63931,314140,108,0.97,6.29,1.2,4,307
2018,8,Brazil,i4,Electric,Hybrid,44290,301071,300,0.97,6.29,1.2,9,951
2022,9,UK,7 Series,SUV,Electric,73367,356531,168,0.97,6.29,1.2,3,393
2021,7,Germany,iX,SUV,Petrol,114878,53089,112,0.97,6.29,1.2,7,453
2023,4,UK,3 Series,Sedan,Diesel,114481,410971,394,0.97,6.29,1.2,7,1190
2022,6,China,i7,SUV,Diesel,111298,332803,290,0.97,6.29,1.2,8,847
2019,5,Japan,3 Series,SUV,Electric,65133,357322,52,0.97,6.29,1.2,10,117
2016,8,France,7 Series,Electric,Electric,62052,145965,93,0.97,6.29,1.2,4,518
2019,1,Germany,i4,SUV,Petrol,75475,131268,200,0.97,6.29,1.2,3,610
2022,1,UK,7 Series,Electric,Hybrid,117666,397186,60,0.97,6.29,1.2,3,260
2024,11,Japan,X1,Electric,Electric,92656,418615,395,0.97,6.29,1.2,5,1115
2023,6,Japan,i4,SUV,Electric,39633,251798,219,0.97,6.29,1.2,1,677
2023,10,UK,3 Series,Sedan,Electric,52304,382255,135,0.97,6.29,1.2,10,370
2015,12,Brazil,X5,Sedan,Electric,81546,287103,78,0.97,6.29,1.2,3,532
2023,2,China,3 Series,SUV,Diesel,42008,294754,274,0.97,6.29,1.2,6,691
2021,5,India,3 Series,Sedan,Electric,83291,215637,267,0.97,6.29,1.2,3,899
2023,1,China,i4,Electric,Diesel,62405,412579,197,0.97,6.29,1.2,5,605
2022,7,UK,X1,Electric,Electric,71386,139242,239,0.97,6.29,1.2,9,474
2015,1,France,3 Series,SUV,Hybrid,55827,425348,198,0.97,6.29,1.2,2,706
2022,4,India,iX,Sedan,Petrol,68040,203956,19,0.97,6.29,1.2,2,272
2022,9,Germany,X7,Sedan,Hybrid,95354,329343,123,0.97,6.29,1.2,6,531
2017,1,China,X3,Electric,Electric,113543,110038,85,0.97,6.29,1.2,6,586
2015,4,UK,X3,SUV,Electric,53157,107786,173,0.97,6.29,1.2,8,667
2022,6,China,3 Series,Sedan,Electric,70315,421780,94,0.97,6.29,1.2,2,559
2017,6,India,iX,SUV,Hybrid,70932,286042,58,0.97,6.29,1.2,9,502
2017,12,Australia,X5,Sedan,Electric,56164,361438,335,0.97,6.29,1.2,2,822
2015,8,Canada,i7,Electric,Hybrid,49414,259087,186,0.97,6.29,1.2,1,564
2019,1,China,i7,Electric,Diesel,49327,215250,396,0.97,6.29,1.2,10,1066
2024,7,Germany,i4,SUV,Petrol,35946,455881,398,0.97,6.29,1.2,2,871
2021,1,Germany,X3,Electric,Petrol,49693,312678,227,0.97,6.29,1.2,7,592
2024,7,USA,3 Series,Sedan,Hybrid,62241,403972,198,0.97,6.29,1.2,8,508
2023,3,China,i7,Electric,Diesel,50540,348276,355,0.97,6.29,1.2,5,1177
2021,11,Canada,3 Series,SUV,Hybrid,107255,427864,239,0.97,6.29,1.2,6,630
2023,8,Brazil,i4,SUV,Diesel,99757,348254,264,0.97,6.29,1.2,1,845
2022,3,Japan,X3,SUV,Electric,76203,239826,245,0.97,6.29,1.2,6,880
2016,1,Canada,7 Series,Sedan,Diesel,60081,375724,35,0.97,6.29,1.2,8,100
2015,8,Japan,X7,Sedan,Diesel,96861,465685,81,0.97,6.29,1.2,3,451
2021,3,Japan,X7,Sedan,Diesel,46350,376160,270,0.97,6.29,1.2,1,944
2021,2,Australia,i7,Sedan,Petrol,90512,96233,263,0.97,6.29,1.2,4,705
2022,1,USA,X7,Sedan,Diesel,91809,442007,280,0.97,6.29,1.2,1,947
2019,3,Canada,7 Series,Electric,Electric,77832,247780,132,0.97,6.29,1.2,8,658
2017,2,Canada,3 Series,Sedan,Electric,63369,274522,153,0.97,6.29,1.2,5,532
2022,2,Australia,i4,Sedan,Electric,66728,156311,266,0.97,6.29,1.2,1,904
2020,6,China,7 Series,Electric,Diesel,52576,84409,153,0.97,6.29,1.2,8,728
2017,12,China,i4,Sedan,Hybrid,64001,296231,268,0.97,6.29,1.2,9,709
2015,1,China,i4,SUV,Hybrid,118384,462540,56,0.97,6.29,1.2,10,368
2017,2,France,X3,Sedan,Electric,35390,451954,360,0.97,6.29,1.2,2,1007
2019,6,Japan,3 Series,Sedan,Petrol,80436,336198,22,0.97,6.29,1.2,9,193
2017,3,France,iX,SUV,Hybrid,46569,79709,385,0.97,6.29,1.2,8,874
2015,4,USA,X7,SUV,Diesel,48029,159321,217,0.97,6.29,1.2,7,622
2019,1,Australia,iX,SUV,Hybrid,57490,50363,320,0.97,6.29,1.2,3,1049
2024,8,Canada,X3,SUV,Electric,80875,322502,244,0.97,6.29,1.2,2,857
2021,7,Japan,i4,Sedan,Petrol,40867,446456,158,0.97,6.29,1.2,7,426
2021,7,France,i7,SUV,Hybrid,115820,95689,331,0.97,6.29,1.2,5,1055
2023,3,France,X7,SUV,Hybrid,44121,314080,164,0.97,6.29,1.2,6,742
2024,10,UK,X7,Electric,Electric,36539,424416,175,0.97,6.29,1.2,4,686
2024,10,France,3 Series,SUV,Petrol,52027,141074,99,0.97,6.29,1.2,2,299
2017,3,Brazil,X1,SUV,Petrol,109229,225037,195,0.97,6.29,1.2,9,716
2021,2,Canada,5 Series,Electric,Electric,43921,258606,327,0.97,6.29,1.2,3,906
2015,12,Brazil,5 Series,Electric,Diesel,85435,50882,367,0.97,6.29,1.2,7,1038
2018,1,Canada,5 Series,Sedan,Hybrid,45310,463440,183,0.97,6.29,1.2,8,421
2018,7,Australia,X1,Electric,Diesel,98965,417371,226,0.97,6.29,1.2,2,551
2019,7,Canada,3 Series,Sedan,Hybrid,104922,304822,273,0.97,6.29,1.2,6,941
2021,12,Brazil,X1,Electric,Hybrid,117839,175865,106,0.97,6.29,1.2,8,626
2021,2,Canada,5 Series,Electric,Diesel,47242,173745,126,0.97,6.29,1.2,7,632
2018,7,Australia,X3,Sedan,Electric,43947,474041,208,0.97,6.29,1.2,3,837
2021,8,Australia,7 Series,Electric,Electric,106466,78885,329,0.97,6.29,1.2,1,749
2017,1,USA,i4,Sedan,Hybrid,96816,221128,30,0.97,6.29,1.2,6,373
2020,9,Canada,X1,Electric,Electric,83785,446419,209,0.97,6.29,1.2,8,753
2016,7,UK,3 Series,SUV,Hybrid,35507,241313,380,0.97,6.29,1.2,6,1169
2024,3,China,3 Series,Electric,Electric,101972,445460,350,0.97,6.29,1.2,5,780
2023,8,Germany,iX,Sedan,Hybrid,62151,410466,257,0.97,6.29,1.2,8,756
2019,7,Australia,7 Series,Electric,Electric,46618,380763,285,0.97,6.29,1.2,2,848
2020,11,India,i7,Sedan,Petrol,109286,71584,273,0.97,6.29,1.2,1,911
2018,8,China,X7,Sedan,Diesel,51122,320665,67,0.97,6.29,1.2,1,530
2024,6,Japan,5 Series,SUV,Petrol,42354,231089,311,0.97,6.29,1.2,4,989
2021,9,Canada,i7,SUV,Diesel,65979,345685,40,0.97,6.29,1.2,6,203
2023,5,Brazil,iX,Sedan,Diesel,114376,79063,258,0.97,6.29,1.2,9,685
2021,3,Germany,5 Series,Electric,Hybrid,87774,120268,102,0.97,6.29,1.2,1,408
2015,3,India,7 Series,Sedan,Diesel,40037,306306,274,0.97,6.29,1.2,1,762
2015,1,China,iX,Sedan,Petrol,63633,176218,280,0.97,6.29,1.2,5,941
2023,12,Canada,5 Series,Electric,Petrol,59495,430350,103,0.97,6.29,1.2,10,425
2023,8,USA,7 Series,Electric,Electric,99550,274126,163,0.97,6.29,1.2,5,596
2018,2,Japan,X5,Electric,Petrol,116384,220635,294,0.97,6.29,1.2,5,769
2023,3,Germany,i7,Electric,Electric,71483,220824,89,0.97,6.29,1.2,10,543
2017,8,UK,i7,Sedan,Diesel,108373,276305,301,0.97,6.29,1.2,6,997
2021,8,USA,X7,Sedan,Petrol,69069,445783,93,0.97,6.29,1.2,8,357
2020,11,India,7 Series,SUV,Diesel,42370,459337,374,0.97,6.29,1.2,3,1043
2022,4,Germany,X1,Sedan,Petrol,106947,444890,383,0.97,6.29,1.2,9,849
2023,4,USA,X5,Electric,Petrol,74133,126411,46,0.97,6.29,1.2,1,122
2019,5,Japan,X3,SUV,Electric,35692,159876,351,0.97,6.29,1.2,4,916
2015,6,UK,5 Series,Electric,Diesel,63926,248153,336,0.97,6.29,1.2,9,882
2017,5,USA,X5,Sedan,Petrol,108984,210212,241,0.97,6.29,1.2,8,472
2024,7,France,7 Series,SUV,Hybrid,78390,190399,102,0.97,6.29,1.2,10,448
2022,2,UK,i4,Electric,Diesel,84593,73331,345,0.97,6.29,1.2,9,956
2020,7,India,5 Series,SUV,Diesel,110609,73004,111,0.97,6.29,1.2,1,628
2022,10,Japan,3 Series,SUV,Diesel,40209,288441,175,0.97,6.29,1.2,9,806
2023,7,Canada,i7,Sedan,Electric,41533,431387,168,0.97,6.29,1.2,3,465
2018,1,Brazil,7 Series,Electric,Hybrid,42211,453708,23,0.97,6.29,1.2,10,121
2015,7,Brazil,3 Series,SUV,Diesel,44927,498013,382,0.97,6.29,1.2,9,923
2015,5,Brazil,X7,SUV,Petrol,112463,239167,234,0.97,6.29,1.2,1,507
2024,3,Germany,iX,Electric,Petrol,59594,456965,82,0.97,6.29,1.2,1,288
2018,3,India,X3,SUV,Electric,109852,375361,258,0.97,6.29,1.2,9,519
2021,4,Japan,X3,SUV,Petrol,112713,139044,100,0.97,6.29,1.2,6,527
2016,12,UK,3 Series,SUV,Diesel,111382,321189,225,0.97,6.29,1.2,4,883
2017,2,Germany,i7,Electric,Petrol,42933,332260,99,0.97,6.29,1.2,7,361
2015,2,India,X7,Electric,Diesel,75696,68667,38,0.97,6.29,1.2,5,388
2019,1,Canada,i4,Electric,Petrol,100449,387201,314,0.97,6.29,1.2,10,844
2015,5,France,i7,Electric,Hybrid,102616,124205,229,0.97,6.29,1.2,7,687
2022,4,Japan,X5,Sedan,Electric,41089,77302,337,0.97,6.29,1.2,8,880
2015,11,Brazil,X3,SUV,Electric,91548,454499,224,0.97,6.29,1.2,8,887
2015,10,USA,X5,Electric,Hybrid,61123,212007,230,0.97,6.29,1.2,1,788
2016,2,Japan,5 Series,SUV,Hybrid,42797,122534,398,0.97,6.29,1.2,8,1026
2016,3,Australia,X1,SUV,Electric,85013,275414,51,0.97,6.29,1.2,6,347
2020,7,India,7 Series,Sedan,Hybrid,43346,212696,144,0.97,6.29,1.2,4,386
2021,7,China,X7,Electric,Diesel,68672,63440,51,0.97,6.29,1.2,8,187
2019,12,Canada,i7,Electric,Petrol,52653,423145,173,0.97,6.29,1.2,3,599
2015,4,France,X3,SUV,Electric,84556,358645,370,0.97,6.29,1.2,4,815
2015,5,Canada,X5,Electric,Hybrid,61140,444485,292,0.97,6.29,1.2,6,1044
2017,5,Japan,iX,SUV,Diesel,36184,320012,67,0.97,6.29,1.2,7,536
2016,6,China,5 Series,SUV,Electric,69493,211323,311,0.97,6.29,1.2,4,967
2019,9,Australia,7 Series,Sedan,Hybrid,79148,390053,331,0.97,6.29,1.2,4,744
2024,2,UK,7 Series,Sedan,Electric,59846,134523,34,0.97,6.29,1.2,7,341
2020,5,USA,i7,Sedan,Hybrid,57195,219801,82,0.97,6.29,1.2,6,511
2021,12,China,X7,SUV,Electric,40606,65734,382,0.97,6.29,1.2,8,790
2018,3,India,i4,Electric,Diesel,38956,223501,138,0.97,6.29,1.2,1,457
2021,4,Brazil,iX,Sedan,Diesel,51555,222409,96,0.97,6.29,1.2,10,245
2022,10,Australia,i7,Electric,Petrol,53690,483541,339,0.97,6.29,1.2,7,818
2015,6,USA,X5,Sedan,Electric,93502,395744,162,0.97,6.29,1.2,7,596
2020,12,France,X1,Sedan,Petrol,83849,320577,191,0.97,6.29,1.2,7,396
2022,8,Brazil,3 Series,SUV,Electric,61347,190183,134,0.97,6.29,1.2,7,523
2019,1,Japan,i4,Sedan,Hybrid,84056,153986,76,0.97,6.29,1.2,10,419
2018,10,China,X7,Sedan,Hybrid,98851,375897,15,0.97,6.29,1.2,10,173
2016,8,USA,5 Series,SUV,Petrol,116502,163783,134,0.97,6.29,1.2,8,393
2020,11,Germany,i4,Electric,Electric,116418,261655,323,0.97,6.29,1.2,9,654
2020,7,UK,X3,Sedan,Petrol,105211,333895,335,0.97,6.29,1.2,9,773
2015,1,UK,X7,SUV,Diesel,76850,197525,62,0.97,6.29,1.2,2,211
2023,2,Australia,X1,Sedan,Petrol,113545,266916,75,0.97,6.29,1.2,7,375
2020,3,France,X3,SUV,Petrol,62843,482184,323,0.97,6.29,1.2,7,975
2017,1,Australia,i4,Electric,Hybrid,97320,211149,91,0.97,6.29,1.2,4,396
2018,9,Germany,3 Series,Electric,Petrol,64793,289654,96,0.97,6.29,1.2,9,500
2018,8,India,3 Series,SUV,Electric,74516,477991,11,0.97,6.29,1.2,8,142
2017,2,France,X1,SUV,Hybrid,52857,239216,213,0.97,6.29,1.2,1,523
2024,9,Canada,7 Series,SUV,Petrol,54627,360714,159,0.97,6.29,1.2,2,697
2017,7,India,iX,Electric,Diesel,96822,227169,302,0.97,6.29,1.2,2,941
2017,9,France,5 Series,Sedan,Petrol,119101,336647,112,0.97,6.29,1.2,8,446
2018,6,France,7 Series,Electric,Petrol,87248,183851,33,0.97,6.29,1.2,1,477
2021,6,Germany,3 Series,SUV,Petrol,90798,398984,377,0.97,6.29,1.2,4,1008
2018,11,Japan,3 Series,SUV,Hybrid,79116,181827,221,0.97,6.29,1.2,10,781
2023,4,Germany,X5,Electric,Electric,110318,351407,74,0.97,6.29,1.2,5,532
2015,10,France,X3,SUV,Diesel,63557,420635,218,0.97,6.29,1.2,9,542
2022,10,USA,i4,Electric,Petrol,106334,367231,260,0.97,6.29,1.2,7,796
2021,2,India,5 Series,SUV,Electric,110163,485497,394,0.97,6.29,1.2,8,1237
2016,7,Germany,X1,Sedan,Electric,113002,101482,126,0.97,6.29,1.2,9,318
2022,5,Japan,i4,Sedan,Hybrid,77614,498073,125,0.97,6.29,1.2,7,592
2015,11,China,X5,SUV,Diesel,47720,172989,246,0.97,6.29,1.2,5,677
2023,6,Australia,3 Series,Electric,Hybrid,92608,460616,114,0.97,6.29,1.2,5,551
2023,2,France,X1,Sedan,Electric,107095,352259,268,0.97,6.29,1.2,10,924
2016,5,Canada,3 Series,Electric,Electric,119694,326393,55,0.97,6.29,1.2,6,536
2021,10,China,5 Series,SUV,Electric,70892,294255,320,0.97,6.29,1.2,5,1099
2024,4,UK,X3,Electric,Hybrid,112242,490041,340,0.97,6.29,1.2,9,894
2017,9,Brazil,i4,Sedan,Diesel,112606,160361,225,0.97,6.29,1.2,3,665
2021,6,Japan,i4,Electric,Petrol,35924,336744,310,0.97,6.29,1.2,3,830
2024,2,Canada,7 Series,Electric,Hybrid,86322,349850,342,0.97,6.29,1.2,7,705
2023,1,Brazil,X1,SUV,Electric,61478,331366,33,0.97,6.29,1.2,7,360
2018,5,Japan,iX,SUV,Hybrid,106042,411185,44,0.97,6.29,1.2,6,152
2015,9,USA,X5,SUV,Electric,81418,416648,33,0.97,6.29,1.2,3,162
2016,6,Australia,iX,Sedan,Petrol,97217,91139,37,0.97,6.29,1.2,7,411
2015,10,China,7 Series,Sedan,Petrol,115846,164919,25,0.97,6.29,1.2,5,359
2019,12,India,5 Series,SUV,Diesel,108762,297677,68,0.97,6.29,1.2,7,367
2019,7,Japan,X5,SUV,Electric,46781,353446,252,0.97,6.29,1.2,2,644
2021,5,India,X3,Sedan,Diesel,40515,275756,216,0.97,6.29,1.2,6,530
2023,10,Australia,iX,Sedan,Diesel,71133,399982,280,0.97,6.29,1.2,8,899
2023,6,France,X3,Sedan,Petrol,117508,189718,258,0.97,6.29,1.2,1,550
2017,5,UK,iX,Sedan,Hybrid,111946,194615,276,0.97,6.29,1.2,4,903
2017,11,China,X3,SUV,Hybrid,44095,275568,202,0.97,6.29,1.2,1,860
2017,9,Australia,iX,Sedan,Diesel,55470,203857,344,0.97,6.29,1.2,1,1012
2018,6,Australia,X3,SUV,Petrol,78129,390497,227,0.97,6.29,1.2,10,538
2022,11,USA,7 Series,Electric,Electric,43531,474622,124,0.97,6.29,1.2,8,516
2020,8,Brazil,X7,Electric,Hybrid,72038,401136,77,0.97,6.29,1.2,7,407
2022,2,UK,X5,Sedan,Diesel,77674,363572,308,0.97,6.29,1.2,10,925
2015,12,China,X1,Electric,Hybrid,117476,73777,334,0.97,6.29,1.2,1,1025
2022,9,France,5 Series,Electric,Hybrid,64831,107939,84,0.97,6.29,1.2,2,450
