year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
2018,5,France,i7,Electric,Electric,92174,496242,112,0.97,6.29,1.2,4,543
2015,7,Germany,3 Series,Sedan,Petrol,46279,398594,306,0.97,6.29,1.2,1,999
2022,10,Australia,X1,Sedan,Electric,73220,472769,187,0.97,6.29,1.2,3,811
2018,1,Japan,3 Series,Electric,Petrol,95610,73548,224,0.97,6.29,1.2,8,685
2020,10,USA,X5,SUV,Hybrid,87719,480481,324,0.97,6.29,1.2,8,847
2022,5,UK,X1,Electric,Diesel,88051,175549,48,0.97,6.29,1.2,8,209
2018,12,France,X3,Sedan,Electric,107013,483917,268,0.97,6.29,1.2,6,840
2017,10,China,X3,Sedan,Petrol,91652,494503,213,0.97,6.29,1.2,6,725
2023,2,Germany,i7,Sedan,Hybrid,100524,187799,16,0.97,6.29,1.2,5,344
2017,12,China,3 Series,Electric,Petrol,117936,291532,58,0.97,6.29,1.2,9,441
2023,6,USA,5 Series,SUV,Petrol,41470,231789,35,0.97,6.29,1.2,4,281
2016,11,Japan,X5,Sedan,Petrol,102598,475643,170,0.97,6.29,1.2,10,625
2016,1,Germany,X3,Sedan,Hybrid,76798,197764,366,0.97,6.29,1.2,7,1104
2016,3,Germany,X7,Electric,Diesel,88473,81625,185,0.97,6.29,1.2,1,540
2020,5,Brazil,7 Series,SUV,Diesel,54880,337062,88,0.97,6.29,1.2,9,457
2017,4,UK,7 Series,Electric,Diesel,79439,484352,11,0.97,6.29,1.2,7,420
2023,3,Germany,iX,Sedan,Petrol,49308,426970,392,0.97,6.29,1.2,10,897
2018,10,Brazil,5 Series,SUV,Hybrid,70081,164881,141,0.97,6.29,1.2,9,529
2015,5,Brazil,7 Series,SUV,Petrol,110242,495625,285,0.97,6.29,1.2,7,943
2018,11,USA,iX,Sedan,Diesel,85383,327721,126,0.97,6.29,1.2,2,634
2015,8,India,3 Series,SUV,Diesel,44837,397299,173,0.97,6.29,1.2,6,670
2019,11,China,X3,SUV,Hybrid,87151,161776,297,0.97,6.29,1.2,10,1001
2018,4,Japan,X3,Electric,Petrol,71824,411390,37,0.97,6.29,1.2,4,191
2022,1,Canada,X7,Sedan,Electric,68073,283996,342,0.97,6.29,1.2,3,937
2022,11,China,X1,Sedan,Electric,61299,307831,10,0.97,6.29,1.2,2,471
2021,7,Germany,7 Series,Sedan,Diesel,93861,262803,197,0.97,6.29,1.2,6,615
2017,8,Japan,3 Series,Sedan,Hybrid,65063,208761,65,0.97,6.29,1.2,8,245
2015,3,France,i4,Sedan,Petrol,104453,192226,44,0.97,6.29,1.2,6,265
2015,6,India,7 Series,SUV,Petrol,103472,407092,121,0.97,6.29,1.2,9,313
2017,2,France,5 Series,Electric,Diesel,49506,71341,295,0.97,6.29,1.2,5,674
2020,7,France,X1,Sedan,Diesel,114854,409698,319,0.97,6.29,1.2,2,807
2021,8,UK,7 Series,Electric,Petrol,61026,255753,45,0.97,6.29,1.2,8,201
2020,6,China,3 Series,Electric,Petrol,62672,419942,226,0.97,6.29,1.2,9,848
2020,6,Canada,7 Series,SUV,Diesel,73417,358474,89,0.97,6.29,1.2,10,447
2020,5,USA,5 Series,Sedan,Petrol,87413,299141,323,0.97,6.29,1.2,4,1051
2017,8,Canada,i4,SUV,Electric,100066,399903,92,0.97,6.29,1.2,6,436
2020,1,France,X5,Sedan,Diesel,94213,249488,74,0.97,6.29,1.2,10,197
2022,10,Germany,i7,SUV,Petrol,85971,306139,334,0.97,6.29,1.2,8,1021
2016,4,India,i4,Electric,Diesel,62281,398951,137,0.97,6.29,1.2,9,640
2019,4,Australia,iX,Sedan,Hybrid,63091,345457,316,0.97,6.29,1.2,5,1081
2015,3,Canada,7 Series,Electric,Diesel,85494,359044,31,0.97,6.29,1.2,6,100
2015,3,France,X3,Electric,Diesel,53610,128840,225,0.97,6.29,1.2,4,675
2019,4,India,X7,SUV,Hybrid,36079,215767,116,0.97,6.29,1.2,5,351
2017,11,Japan,X3,Sedan,Electric,81751,211297,118,0.97,6.29,1.2,7,355
2018,1,China,i4,Electric,Petrol,90432,398216,381,0.97,6.29,1.2,9,1195
2017,11,Brazil,X3,SUV,Hybrid,65951,408511,366,0.97,6.29,1.2,10,811
2015,11,UK,3 Series,Sedan,Diesel,115863,99156,190,0.97,6.29,1.2,6,473
2015,2,India,X3,Sedan,Petrol,113291,258281,365,0.97,6.29,1.2,6,1027
2019,9,Germany,X1,Electric,Hybrid,94872,137453,173,0.97,6.29,1.2,8,505
2020,10,Germany,X5,Sedan,Petrol,42235,208901,77,0.97,6.29,1.2,4,369
2017,2,India,7 Series,Electric,Petrol,117733,75938,301,0.97,6.29,1.2,3,782
2023,5,Germany,X3,Sedan,Hybrid,97712,109164,189,0.97,6.29,1.2,7,432
2019,9,China,5 Series,SUV,Petrol,56473,497746,190,0.97,6.29,1.2,5,773
2022,9,Germany,X5,Electric,Electric,102567,249271,178,0.97,6.29,1.2,2,554
2015,8,Canada,X5,Electric,Hybrid,114823,110282,31,0.97,6.29,1.2,2,398
2019,1,Brazil,X3,Sedan,Electric,67230,359945,75,0.97,6.29,1.2,6,424
2017,1,Germany,X5,Sedan,Diesel,119573,452681,30,0.97,6.29,1.2,8,67
2015,9,Brazil,X7,Electric,Petrol,103876,315470,109,0.97,6.29,1.2,1,540
2018,11,France,X3,Sedan,Diesel,75644,446875,393,0.97,6.29,1.2,6,887
2019,8,USA,3 Series,SUV,Diesel,83664,208666,309,0.97,6.29,1.2,2,687
2021,10,China,i4,Sedan,Petrol,80203,165819,112,0.97,6.29,1.2,2,514
2015,9,USA,X1,SUV,Hybrid,101677,316907,56,0.97,6.29,1.2,7,255
2017,7,France,i7,SUV,Petrol,60425,191900,48,0.97,6.29,1.2,10,302
2016,3,China,iX,SUV,Diesel,119817,359732,294,0.97,6.29,1.2,1,730
2023,3,India,X5,SUV,Diesel,104806,323365,319,0.97,6.29,1.2,6,847
2024,2,India,3 Series,SUV,Hybrid,77814,454427,99,0.97,6.29,1.2,7,498
2020,5,Brazil,7 Series,Sedan,Petrol,105219,63569,94,0.97,6.29,1.2,8,176
2024,12,France,7 Series,SUV,Diesel,84646,277966,282,0.97,6.29,1.2,7,736
2017,12,Brazil,iX,Sedan,Electric,74884,87860,345,0.97,6.29,1.2,6,836
2022,3,UK,X1,SUV,Diesel,104322,252630,197,0.97,6.29,1.2,9,609
2022,6,Germany,X5,Electric,Diesel,56650,357481,168,0.97,6.29,1.2,3,753
2016,2,Australia,X7,SUV,Hybrid,44190,495527,252,0.97,6.29,1.2,6,632
2020,12,UK,iX,Electric,Electric,73196,194587,82,0.97,6.29,1.2,4,531
2021,3,Germany,X1,SUV,Diesel,74449,121695,58,0.97,6.29,1.2,2,542
2016,5,China,X5,SUV,Diesel,74661,303078,110,0.97,6.29,1.2,1,529
2024,12,Brazil,3 Series,SUV,Electric,64709,292599,11,0.97,6.29,1.2,1,130
2016,11,China,i4,Electric,Petrol,115428,418893,253,0.97,6.29,1.2,10,533
2024,11,China,X7,Electric,Petrol,110179,205976,185,0.97,6.29,1.2,3,430
2015,1,Germany,i7,SUV,Diesel,44943,241007,247,0.97,6.29,1.2,4,647
2022,1,France,7 Series,Sedan,Diesel,78240,355934,68,0.97,6.29,1.2,2,520
2015,10,Germany,5 Series,SUV,Petrol,80760,380724,362,0.97,6.29,1.2,1,961
2023,9,Japan,3 Series,Electric,Hybrid,56042,55636,108,0.97,6.29,1.2,4,552
2020,7,India,7 Series,SUV,Electric,78894,311578,368,0.97,6.29,1.2,7,1150
2021,1,India,X3,Electric,Electric,41869,389273,11,0.97,6.29,1.2,10,361
2024,12,UK,5 Series,Electric,Hybrid,96078,446108,252,0.97,6.29,1.2,6,630
2021,8,India,7 Series,Electric,Hybrid,91759,333816,306,0.97,6.29,1.2,6,876
2024,3,Germany,X1,SUV,Hybrid,79306,317956,220,0.97,6.29,1.2,9,525
2017,8,Canada,X7,Electric,Hybrid,90371,277693,132,0.97,6.29,1.2,2,718
2016,5,Brazil,7 Series,Electric,Hybrid,55918,50654,238,0.97,6.29,1.2,4,680
2023,1,Germany,i7,SUV,Hybrid,63379,104633,91,0.97,6.29,1.2,5,466
2022,7,Germany,i4,Electric,Electric,118232,67143,153,0.97,6.29,1.2,1,497
2024,5,Australia,X1,SUV,Hybrid,37962,105934,397,0.97,6.29,1.2,8,893
2021,6,Brazil,3 Series,Electric,Petrol,48851,379478,149,0.97,6.29,1.2,8,347
2023,6,Japan,3 Series,Sedan,Hybrid,80747,153463,38,0.97,6.29,1.2,6,158
2018,8,India,3 Series,Sedan,Hybrid,87349,175851,279,0.97,6.29,1.2,5,701
2018,9,Brazil,3 Series,Electric,Electric,105832,79087,256,0.97,6.29,1.2,8,657
2015,2,India,i4,Sedan,Electric,91356,192690,21,0.97,6.29,1.2,3,306
2022,9,UK,7 Series,SUV,Hybrid,49745,320590,364,0.97,6.29,1.2,3,958
2017,12,Brazil,X5,Sedan,Electric,40730,414271,398,0.97,6.29,1.2,2,1096
2021,11,India,7 Series,Electric,Diesel,48921,361011,346,0.97,6.29,1.2,5,1086
2016,10,Japan,X3,Electric,Electric,106138,494244,115,0.97,6.29,1.2,3,647
2016,9,USA,X7,SUV,Electric,118111,372245,41,0.97,6.29,1.2,3,290
2021,10,China,5 Series,Electric,Electric,54023,208272,83,0.97,6.29,1.2,6,475
2020,10,China,X5,SUV,Electric,80349,276179,180,0.97,6.29,1.2,8,521
2017,7,Japan,X5,Sedan,Petrol,116533,400218,346,0.97,6.29,1.2,2,1019
2023,1,Australia,7 Series,Sedan,Petrol,118286,242537,78,0.97,6.29,1.2,4,421
2024,7,USA,X5,SUV,Petrol,76979,267508,310,0.97,6.29,1.2,7,630
2020,10,UK,iX,SUV,Hybrid,57837,168422,371,0.97,6.29,1.2,1,811
2024,5,Japan,iX,Electric,Hybrid,49997,400036,146,0.97,6.29,1.2,1,465
2024,6,China,X3,Sedan,Diesel,80039,269631,109,0.97,6.29,1.2,10,542
2020,10,China,5 Series,SUV,Petrol,55923,432188,155,0.97,6.29,1.2,7,395
2015,7,China,i7,Sedan,Hybrid,43876,89148,18,0.97,6.29,1.2,7,467
2018,5,France,i4,SUV,Electric,95973,395072,71,0.97,6.29,1.2,1,536
2024,7,Japan,7 Series,Sedan,Electric,37887,201770,194,0.97,6.29,1.2,1,571
2020,9,Germany,i4,Electric,Petrol,98723,485686,38,0.97,6.29,1.2,4,206
2020,3,UK,i7,Sedan,Diesel,77422,363804,390,0.97,6.29,1.2,5,1135
2019,8,China,7 Series,Sedan,Diesel,86413,497126,123,0.97,6.29,1.2,5,453
2015,2,India,7 Series,Sedan,Electric,37841,347594,152,0.97,6.29,1.2,4,517
2022,11,Japan,5 Series,Sedan,Diesel,63756,237535,399,0.97,6.29,1.2,8,1137
2019,7,France,i4,Sedan,Petrol,106576,345901,129,0.97,6.29,1.2,7,539
2019,2,Japan,iX,Electric,Electric,45304,128012,179,0.97,6.29,1.2,9,613
2021,4,UK,3 Series,SUV,Hybrid,65341,418894,166,0.97,6.29,1.2,7,730
2018,7,France,i4,Sedan,Hybrid,39758,439187,344,0.97,6.29,1.2,10,934
2020,3,UK,X7,Electric,Diesel,52010,474606,358,0.97,6.29,1.2,1,980
2018,2,Japan,X7,Sedan,Electric,95758,106116,269,0.97,6.29,1.2,7,725
2017,11,Germany,7 Series,Sedan,Electric,66658,194233,91,0.97,6.29,1.2,1,499
2021,10,UK,3 Series,SUV,Hybrid,84002,82152,251,0.97,6.29,1.2,7,662
2022,7,France,X1,Sedan,Electric,36375,156379,181,0.97,6.29,1.2,10,608
2018,1,France,i7,Electric,Electric,57092,276905,240,0.97,6.29,1.2,8,719
2016,8,UK,X3,Electric,Electric,35490,70836,217,0.97,6.29,1.2,9,450
2024,3,Canada,3 Series,SUV,Diesel,38729,271439,84,0.97,6.29,1.2,3,257
2017,12,Japan,X3,Sedan,Electric,40974,236720,279,0.97,6.29,1.2,4,699
2015,12,Canada,i4,Electric,Petrol,118860,207403,396,0.97,6.29,1.2,4,1078
2022,2,Australia,i4,Sedan,Diesel,56398,191835,123,0.97,6.29,1.2,9,246
2017,3,Japan,X3,Sedan,Electric,69650,381588,71,0.97,6.29,1.2,7,197
2024,5,UK,i7,Sedan,Electric,56292,143109,371,0.97,6.29,1.2,3,931
2021,11,USA,3 Series,SUV,Petrol,38159,200259,329,0.97,6.29,1.2,10,1013
2024,8,UK,X1,Sedan,Diesel,97766,193029,111,0.97,6.29,1.2,5,499
2019,10,Canada,7 Series,Electric,Hybrid,52065,447595,371,0.97,6.29,1.2,7,977
2024,7,Germany,5 Series,Sedan,Hybrid,56638,471175,219,0.97,6.29,1.2,8,790
2019,7,UK,i4,Electric,Diesel,36073,132018,264,0.97,6.29,1.2,1,880
2021,12,UK,X7,Sedan,Electric,81511,173076,29,0.97,6.29,1.2,2,346
2023,7,Germany,i7,Electric,Electric,119307,208177,67,0.97,6.29,1.2,7,353
2019,8,UK,5 Series,Electric,Hybrid,64320,444093,121,0.97,6.29,1.2,2,620
2015,1,China,X1,Sedan,Hybrid,104876,229425,322,0.97,6.29,1.2,7,675
2024,4,USA,X5,Sedan,Hybrid,69924,395932,205,0.97,6.29,1.2,9,667
2024,6,India,7 Series,Electric,Petrol,116720,409014,384,0.97,6.29,1.2,2,868
2015,9,USA,i4,SUV,Hybrid,75734,265657,362,0.97,6.29,1.2,7,836
2016,2,UK,7 Series,Sedan,Petrol,103116,395452,101,0.97,6.29,1.2,4,231
2020,1,China,5 Series,SUV,Diesel,75025,494783,61,0.97,6.29,1.2,2,567
2023,10,Japan,7 Series,Sedan,Electric,37159,370057,302,0.97,6.29,1.2,7,1016
2022,12,UK,X5,Sedan,Hybrid,83940,52637,17,0.97,6.29,1.2,5,386
2019,2,Canada,5 Series,Sedan,Electric,114436,354169,309,0.97,6.29,1.2,1,730
2015,7,China,i4,Sedan,Electric,111976,287989,107,0.97,6.29,1.2,5,552
2021,3,Germany,3 Series,SUV,Hybrid,49678,282259,245,0.97,6.29,1.2,3,875
2019,10,China,X7,Sedan,Hybrid,96075,411652,398,0.97,6.29,1.2,7,1083
2020,2,Germany,5 Series,Electric,Diesel,82204,132464,383,0.97,6.29,1.2,6,978
2021,11,Australia,iX,Electric,Petrol,47021,340886,78,0.97,6.29,1.2,8,248
2017,7,India,X5,SUV,Petrol,41772,61831,54,0.97,6.29,1.2,5,351
2024,2,Brazil,5 Series,Sedan,Electric,102163,163768,146,0.97,6.29,1.2,2,556
2017,3,China,5 Series,Electric,Hybrid,108755,296983,243,0.97,6.29,1.2,9,578
2019,11,France,iX,SUV,Diesel,58464,397236,41,0.97,6.29,1.2,8,147
2020,7,Canada,i4,Sedan,Diesel,86137,403023,298,0.97,6.29,1.2,6,886
2023,4,UK,5 Series,Electric,Diesel,65232,400514,135,0.97,6.29,1.2,10,319
2019,1,Canada,X7,Electric,Diesel,96497,438681,76,0.97,6.29,1.2,7,369
2015,5,USA,7 Series,SUV,Diesel,109024,489978,39,0.97,6.29,1.2,9,493
2018,12,Brazil,i4,Sedan,Petrol,86448,154824,123,0.97,6.29,1.2,7,581
2019,9,USA,X7,Sedan,Petrol,119517,138741,213,0.97,6.29,1.2,3,517
2024,8,Australia,i4,Electric,Petrol,35901,68830,38,0.97,6.29,1.2,6,207
2024,12,Brazil,X7,Electric,Hybrid,118597,367188,140,0.97,6.29,1.2,7,281
2019,9,Brazil,X5,Electric,Electric,37881,386092,194,0.97,6.29,1.2,2,775
2021,10,USA,X7,Sedan,Diesel,64863,119202,262,0.97,6.29,1.2,3,724
2018,9,Germany,X3,SUV,Hybrid,40622,349189,295,0.97,6.29,1.2,4,664
2015,7,USA,X7,SUV,Diesel,36378,267394,395,0.97,6.29,1.2,10,953
2019,4,Canada,3 Series,Sedan,Petrol,118168,252123,71,0.97,6.29,1.2,6,187
2021,5,Germany,3 Series,SUV,Hybrid,106186,419653,12,0.97,6.29,1.2,1,305
2024,1,Canada,i7,Electric,Petrol,80201,207699,77,0.97,6.29,1.2,9,525
2024,1,Australia,X3,SUV,Diesel,94251,327342,34,0.97,6.29,1.2,5,451
2020,3,UK,X3,SUV,Diesel,107572,381665,188,0.97,6.29,1.2,7,813
2019,8,Japan,7 Series,SUV,Electric,74255,156471,150,0.97,6.29,1.2,9,552
2018,2,Germany,X3,Electric,Diesel,98212,341619,240,0.97,6.29,1.2,9,911
2016,4,Australia,7 Series,Sedan,Petrol,85210,286824,309,0.97,6.29,1.2,1,865
2018,2,France,i7,Electric,Diesel,57499,69403,172,0.97,6.29,1.2,1,765
2024,5,Australia,i7,Sedan,Electric,86628,53681,320,0.97,6.29,1.2,3,638
2024,9,USA,X5,Sedan,Electric,96360,403699,139,0.97,6.29,1.2,6,313
2017,1,USA,3 Series,Sedan,Petrol,39603,431028,255,0.97,6.29,1.2,2,778
2024,5,Japan,X7,SUV,Hybrid,47632,405266,306,0.97,6.29,1.2,10,947
2015,9,Australia,X7,SUV,Diesel,65607,165260,181,0.97,6.29,1.2,1,588
2022,1,India,iX,Sedan,Electric,100756,223364,73,0.97,6.29,1.2,1,517
2019,9,UK,iX,Sedan,Diesel,81994,155386,40,0.97,6.29,1.2,5,192
2018,8,USA,X1,SUV,Diesel,98382,283378,56,0.97,6.29,1.2,4,400
2022,4,Japan,i4,Electric,Hybrid,105354,448845,139,0.97,6.29,1.2,1,469
2021,12,UK,X5,Sedan,Electric,91344,143246,361,0.97,6.29,1.2,4,884
2016,11,Australia,X1,Electric,Diesel,88775,145864,342,0.97,6.29,1.2,3,910
2015,10,Australia,X1,SUV,Electric,42349,258886,119,0.97,6.29,1.2,2,372
2018,5,Brazil,5 Series,Sedan,Petrol,106154,320561,78,0.97,6.29,1.2,9,305
2022,5,Japan,5 Series,Electric,Petrol,62464,431032,67,0.97,6.29,1.2,1,636
2016,11,USA,X1,Electric,Diesel,77624,215837,115,0.97,6.29,1.2,7,433
2017,12,India,X3,Electric,Electric,72344,386643,309,0.97,6.29,1.2,4,931
2015,6,Australia,i4,SUV,Diesel,118791,443052,339,0.97,6.29,1.2,5,751
2015,7,India,X5,SUV,Electric,59299,295160,265,0.97,6.29,1.2,10,904
2017,8,Australia,X1,Electric,Electric,82975,237646,321,0.97,6.29,1.2,5,652
2019,8,USA,X7,Electric,Hybrid,36462,309278,180,0.97,6.29,1.2,1,573
2017,11,UK,i4,SUV,Hybrid,116441,339819,392,0.97,6.29,1.2,6,1027
2015,2,China,5 Series,Electric,Hybrid,116788,306681,171,0.97,6.29,1.2,9,575
2015,9,UK,X7,Electric,Diesel,75581,221635,295,0.97,6.29,1.2,2,848
2022,7,Australia,5 Series,SUV,Hybrid,106289,61332,80,0.97,6.29,1.2,7,432
2024,4,Canada,5 Series,Electric,Hybrid,49175,304817,264,0.97,6.29,1.2,6,918
2016,4,China,i4,Electric,Petrol,41191,331321,383,0.97,6.29,1.2,5,1197
2017,11,China,5 Series,Electric,Electric,118434,442704,64,0.97,6.29,1.2,4,216
2016,8,India,i7,SUV,Electric,119518,270326,332,0.97,6.29,1.2,4,847
2017,4,Japan,3 Series,Electric,Hybrid,115158,249519,12,0.97,6.29,1.2,6,72
2021,6,India,i7,SUV,Electric,101537,311849,35,0.97,6.29,1.2,4,416
2015,5,India,3 Series,SUV,Petrol,82645,369248,322,0.97,6.29,1.2,5,827
2024,3,Canada,iX,Sedan,Petrol,58283,396479,135,0.97,6.29,1.2,6,355
2022,10,UK,iX,Sedan,Hybrid,94123,427082,62,0.97,6.29,1.2,5,254
2024,11,UK,5 Series,Electric,Petrol,65024,130730,207,0.97,6.29,1.2,7,626
2024,2,France,X5,SUV,Electric,84630,448167,308,0.97,6.29,1.2,9,862
2024,9,Australia,X5,Sedan,Diesel,65734,287474,197,0.97,6.29,1.2,10,409
2016,10,Canada,3 Series,Electric,Electric,35515,340477,195,0.97,6.29,1.2,7,561
2017,9,France,X7,Sedan,Diesel,101727,333817,314,0.97,6.29,1.2,7,889
2023,1,USA,i4,Sedan,Hybrid,81216,426565,307,0.97,6.29,1.2,4,784
2021,10,Australia,5 Series,SUV,Diesel,106833,90870,213,0.97,6.29,1.2,1,495
2018,3,Australia,i4,SUV,Petrol,93755,303017,20,0.97,6.29,1.2,8,417
2024,8,Brazil,i7,Sedan,Electric,62856,177536,368,0.97,6.29,1.2,4,869
2019,6,Brazil,X5,Sedan,Diesel,108870,383245,363,0.97,6.29,1.2,1,951
2016,5,Germany,X3,SUV,Electric,59162,334965,155,0.97,6.29,1.2,5,542
2022,5,Germany,i7,Electric,Hybrid,41008,75494,94,0.97,6.29,1.2,8,398
2018,6,India,i7,SUV,Hybrid,42987,149477,109,0.97,6.29,1.2,4,296
2023,7,USA,3 Series,Sedan,Petrol,97532,438227,113,0.97,6.29,1.2,8,517
2019,1,China,7 Series,Electric,Hybrid,38332,255232,55,0.97,6.29,1.2,8,418
2023,9,China,i7,Sedan,Diesel,101323,424842,53,0.97,6.29,1.2,3,306
2018,3,Brazil,5 Series,Electric,Hybrid,73990,423704,287,0.97,6.29,1.2,9,930
2024,4,Brazil,X1,Sedan,Petrol,44873,444051,190,0.97,6.29,1.2,3,805
2019,10,Brazil,X1,Electric,Electric,117542,330790,196,0.97,6.29,1.2,1,538
2023,1,Canada,5 Series,Electric,Electric,71444,173777,123,0.97,6.29,1.2,2,697
2022,11,Japan,7 Series,Sedan,Hybrid,70340,127360,264,0.97,6.29,1.2,6,902
2017,10,Germany,7 Series,Electric,Diesel,40033,349479,390,0.97,6.29,1.2,10,1118
2015,3,Canada,3 Series,SUV,Petrol,108324,381495,389,0.97,6.29,1.2,2,1242
2017,2,UK,X5,Sedan,Diesel,50689,427078,39,0.97,6.29,1.2,6,406
2018,2,China,i4,SUV,Petrol,35066,183501,273,0.97,6.29,1.2,1,878
2016,1,Australia,7 Series,Sedan,Hybrid,80246,354094,107,0.97,6.29,1.2,1,479
2015,8,Germany,X3,Electric,Petrol,42533,110654,322,0.97,6.29,1.2,5,721
2021,3,France,3 Series,Electric,Petrol,115639,419566,376,0.97,6.29,1.2,10,1161
2022,3,UK,iX,Electric,Hybrid,105152,422078,338,0.97,6.29,1.2,9,717
2021,6,Germany,X7,Sedan,Diesel,94658,169975,124,0.97,6.29,1.2,8,428
2019,8,Canada,iX,SUV,Hybrid,73498,249215,285,0.97,6.29,1.2,3,929
2015,9,USA,3 Series,SUV,Petrol,46772,403330,290,0.97,6.29,1.2,3,1044
2021,9,Australia,i7,Sedan,Hybrid,84036,416378,284,0.97,6.29,1.2,1,1016
2021,4,Germany,i4,Sedan,Petrol,93531,152326,270,0.97,6.29,1.2,3,602
